causality_actor_process_image_path	os_actor_process_image_path	os_actor_process_image_name	action_local_port	action_remote_ip	dst_action_external_hostname	action_remote_port	count_endpoints
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	1.1.1.1		53	6
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	63863	192.168.4.1		53	1
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	54255	10.251.231.53		53	1
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-arm64.xpc/Contents/MacOS/SecurityAgentHelper-arm64	SecurityAgentHelper-arm64	53	192.168.1.1		53	6
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	200.21.200.10		53	18
/System/Applications/Stocks.app/Contents/MacOS/Stocks	/System/Applications/Stocks.app/Contents/MacOS/Stocks	Stocks	64610	17.248.201.66	stocks-edge.apple.com	443	1
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-arm64.xpc/Contents/MacOS/SecurityAgentHelper-arm64	SecurityAgentHelper-arm64	49899	50.17.177.188	mobile.launchdarkly.com	443	1
/System/Library/CoreServices/CrashReporterSupportHelper	/System/Library/CoreServices/CrashReporterSupportHelper	CrashReporterSupportHelper	53	192.168.0.1		53	73
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	192.168.15.1		53	239
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	10.145.137.21		53	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	53	45.161.255.249		53	1
/System/Applications/Stocks.app/Contents/MacOS/Stocks	/System/Applications/Stocks.app/Contents/MacOS/Stocks	Stocks	53	192.168.86.1		53	2
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	192.168.1.254		53	3
/System/Library/Frameworks/Translation.framework/translationd	/System/Library/Frameworks/Translation.framework/translationd	translationd	53	192.168.5.1		53	1
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	0	186.219.128.244		53	1
/System/Applications/Maps.app/Contents/MacOS/Maps	/System/Applications/Maps.app/Contents/MacOS/Maps	Maps	53	192.168.119.1		53	1
/System/Applications/Stocks.app/Contents/MacOS/Stocks	/System/Applications/Stocks.app/Contents/MacOS/Stocks	Stocks	62389	23.206.171.49	weather-data.apple.com	443	1
/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared	mdworker_shared	53	190.248.0.7		53	1
/System/Applications/FaceTime.app/Contents/MacOS/FaceTime	/System/Applications/FaceTime.app/Contents/MacOS/FaceTime	FaceTime	53	192.168.15.1		53	1
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	192.168.1.1		53	30
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	SecurityAgent	53	192.168.0.1		53	17
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	10.255.231.53		53	1
/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	/System/Volumes/Preboot/Cryptexes/OS/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	com.apple.WebKit.Networking	55073	204.128.250.146	www.omnigroup.com	443	1
/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent	/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/XPCServices/SecurityAgentHelper-arm64.xpc/Contents/MacOS/SecurityAgentHelper-arm64	SecurityAgentHelper-arm64	52974	34.206.34.220	mobile.launchdarkly.com	443	1
/System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/CFNetworkAgent	/System/Library/Frameworks/CFNetwork.framework/Versions/A/Support/CFNetworkAgent	CFNetworkAgent	64674	93.184.216.34	wpad.box	80	1
/System/Volumes/Preboot/Cryptexes/App/usr/libexec/PasswordBreachAgent	/System/Volumes/Preboot/Cryptexes/App/usr/libexec/PasswordBreachAgent	PasswordBreachAgent	49910	17.137.184.130	pba.apple.com	443	1
/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	/System/Volumes/Preboot/Cryptexes/App/System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking	com.apple.WebKit.Networking	55012	172.217.30.2	googleads.g.doubleclick.net	443	1
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	49918	192.168.100.1		53	1
/System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetIntentsPeople.appex/Contents/MacOS/FindMyWidgetIntentsPeople	/System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetIntentsPeople.appex/Contents/MacOS/FindMyWidgetIntentsPeople	FindMyWidgetIntentsPeople	53	10.252.231.53		53	2
/Library/Developer/PrivateFrameworks/CoreSimulator.framework/Versions/A/XPCServices/SimulatorTrampoline.xpc/Contents/MacOS/SimulatorTrampoline	/Applications/Xcode-14.2.0.app/Contents/Developer/Platforms/iPhoneOS.platform/Library/Developer/CoreSimulator/Profiles/Runtimes/iOS.simruntime/Contents/Resources/RuntimeRoot/usr/libexec/rtcreportingd	rtcreportingd	52873	23.1.196.149		443	1
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	181.213.132.2		53	192
/Applications/Install macOS Sonoma.app/Contents/Frameworks/OSInstallerSetup.framework/Versions/A/Resources/osinstallersetupd	/Applications/Install macOS Sonoma.app/Contents/Frameworks/OSInstallerSetup.framework/Versions/A/Resources/osinstallersetupd	osinstallersetupd	50587	187.72.120.144	swcdn.apple.com	443	1
/System/Library/Frameworks/StoreKit.framework/Support/storekitagent	/System/Library/Frameworks/StoreKit.framework/Support/storekitagent	storekitagent	49532	17.36.202.253		443	1
/Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd	/Library/Apple/System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd	usbmuxd	50649	192.168.15.40		62078	1
/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared	mdworker_shared	53	192.168.1.1		53	74
/System/Library/CoreServices/Problem Reporter.app/Contents/MacOS/Problem Reporter	/System/Library/CoreServices/Problem Reporter.app/Contents/MacOS/Problem Reporter	Problem Reporter	53	10.101.231.53		53	2
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	63704	8.8.8.8	dns.google	53	1
/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	/System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent	WiFiAgent	53	10.251.231.53		53	137
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	181.213.132.4		53	10
/System/Library/CoreServices/CrashReporterSupportHelper	/System/Library/CoreServices/CrashReporterSupportHelper	CrashReporterSupportHelper	53	10.0.0.1		53	8
/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared	/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared	mdworker_shared	53	10.251.231.53		53	66
/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	/System/Library/CoreServices/Finder.app/Contents/MacOS/Finder	Finder	53	10.101.231.53		53	43
/System/Volumes/Preboot/Cryptexes/App/usr/libexec/PasswordBreachAgent	/System/Volumes/Preboot/Cryptexes/App/usr/libexec/PasswordBreachAgent	PasswordBreachAgent	49606	23.56.8.26	configuration.apple.com	443	1
/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	/System/Library/CoreServices/ClimateProxy.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget	WeatherWidget	56673	8.8.8.8		53	1
/System/Applications/Messages.app/Contents/MacOS/Messages	/System/Applications/Messages.app/Contents/MacOS/Messages	Messages	53	10.251.231.53		53	1
/System/Library/CoreServices/Help Viewer.app/Contents/MacOS/Help Viewer	/System/Library/CoreServices/Help Viewer.app/Contents/MacOS/Help Viewer	Help Viewer	53	190.157.8.101		53	1
/System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight	/System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight	Spotlight	53	10.251.231.53		53	18
/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	/System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter	ControlCenter	53	10.251.231.53		53	14
/System/Applications/Messages.app/Contents/MacOS/Messages	/System/Applications/Messages.app/Contents/MacOS/Messages	Messages	53	192.168.86.1		53	5
/System/Applications/Messages.app/Contents/MacOS/Messages	/System/Applications/Messages.app/Contents/MacOS/Messages	Messages	53	75.75.75.75		53	2
